ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
03750.HK,20260114,498.8,498.8,482.6,484.0,489.8,-5.8,-1.18,2940411,1432559963.3
03750.HK,20260115,485.0,495.8,484.0,487.4,484.0,3.4,0.7,1437333,703001214.96
03750.HK,20260116,487.4,493.8,482.0,484.6,487.4,-2.8,-0.57,1603190,780258786.4
03750.HK,20260119,484.6,487.6,476.0,477.6,484.6,-7.0,-1.44,1484269,710485595.4
03750.HK,20260120,480.0,485.0,475.0,479.6,477.6,2.0,0.42,1376246,660814518.0
03750.HK,20260121,480.6,488.8,475.4,486.0,479.6,6.4,1.33,1597677,773034720.0
03750.HK,20260122,495.0,495.0,460.0,472.2,486.0,-13.8,-2.84,5387821,2525502330.9
03750.HK,20260123,472.2,476.2,466.0,471.4,472.2,-0.8,-0.17,2543073,1200201140.17
03750.HK,20260126,475.0,478.4,462.6,466.0,471.4,-5.4,-1.15,1932844,903121403.48
03750.HK,20260127,475.0,475.0,457.0,467.0,466.0,1.0,0.21,2179660,1013817243.5
03750.HK,20260128,472.8,478.6,458.4,475.4,467.0,8.4,1.8,3363675,1579838965.524
03750.HK,20260129,478.0,478.6,471.8,477.4,475.4,2.0,0.42,2287442,1087720954.6
03750.HK,20260130,479.8,500.0,478.0,491.0,477.4,13.6,2.85,4575354,2246390361.7
03750.HK,20260202,500.0,505.0,483.4,486.6,491.0,-4.4,-0.9,2429892,1189915714.6
03750.HK,20260203,491.6,491.8,474.0,481.6,486.6,-5.0,-1.03,1222222,589320193.3
03750.HK,20260204,486.0,515.5,478.8,502.5,481.6,20.9,4.34,3997468,1994153919.08
03750.HK,20260205,509.5,509.5,483.2,492.8,502.5,-9.7,-1.93,2166866,1066790998.8
03750.HK,20260206,492.0,510.0,486.0,501.5,492.8,8.7,1.77,1809571,908354541.62
03750.HK,20260209,509.5,515.0,498.0,513.5,501.5,12.0,2.39,2821790,1442433469.26
03750.HK,20260210,519.0,521.5,507.0,511.0,513.5,-2.5,-0.49,1829605,939769283.4
03750.HK,20260211,505.0,513.0,502.0,507.0,511.0,-4.0,-0.78,1457644,738882010.4
03750.HK,20260212,518.0,532.0,515.0,528.0,507.0,21.0,4.14,3077613,1618390502.6
03750.HK,20260213,528.0,531.5,515.5,517.5,528.0,-10.5,-1.99,1618201,842133864.3
03750.HK,20260216,524.0,537.0,521.0,531.5,517.5,14.0,2.71,1107022,588034443.32
03750.HK,20260220,538.0,538.0,525.0,526.0,531.5,-5.5,-1.03,1134689,601137163.2
03750.HK,20260223,534.0,543.0,531.0,542.5,526.0,16.5,3.14,1250197,673272226.64
03750.HK,20260224,542.0,542.0,520.0,525.5,542.5,-17.0,-3.13,1802954,948020830.7
03750.HK,20260225,538.5,538.5,523.0,533.0,525.5,7.5,1.43,1309356,695972317.48
03750.HK,20260226,531.0,531.5,496.0,498.4,533.0,-34.6,-6.49,3925332,1981895327.9
03750.HK,20260227,498.6,508.0,487.2,496.0,498.4,-2.4,-0.48,4071385,2014742418.94
03750.HK,20260302,495.8,497.6,480.2,484.4,496.0,-11.6,-2.34,2026573,988129085.15
03750.HK,20260303,496.8,498.4,485.2,487.0,484.4,2.6,0.54,1482892,728259572.3
03750.HK,20260304,480.0,486.8,470.2,479.2,487.0,-7.8,-1.6,1441731,687793200.88
03750.HK,20260305,503.0,503.0,487.2,499.8,479.2,20.6,4.3,2601750,1297322662.366
03750.HK,20260306,503.5,513.0,494.4,513.0,499.8,13.2,2.64,3182774,1615289475.76
03750.HK,20260309,513.0,513.0,482.2,503.0,513.0,-10.0,-1.95,3765557,1880612268.66
03750.HK,20260310,533.0,552.0,525.0,550.0,503.0,47.0,9.34,6331879,3448674579.15
03750.HK,20260311,560.0,608.0,552.0,599.5,550.0,49.5,9.0,6532230,3849376375.97
03750.HK,20260312,600.0,614.5,596.0,610.0,599.5,10.5,1.75,3827320,2325416916.01
03750.HK,20260313,598.0,623.0,597.5,621.0,610.0,11.0,1.8,3601156,2218912453.98
03750.HK,20260316,622.5,670.0,621.0,670.0,621.0,49.0,7.89,5239964,3419299357.74
03750.HK,20260317,680.0,685.0,644.0,648.0,670.0,-22.0,-3.28,3844089,2530984120.7
03750.HK,20260318,648.0,665.0,639.5,650.5,648.0,2.5,0.39,2095954,1365043453.86
03750.HK,20260319,650.5,665.0,640.5,644.0,650.5,-6.5,-1.0,2021163,1314416300.8
03750.HK,20260320,664.5,698.0,657.5,698.0,644.0,54.0,8.39,6275080,4287926274.7
03750.HK,20260323,688.0,689.0,658.0,662.0,698.0,-36.0,-5.16,3313221,2235755329.914
03750.HK,20260324,672.5,678.0,625.0,645.0,662.0,-17.0,-2.57,3394763,2187600770.55
03750.HK,20260325,651.5,662.5,626.5,637.5,645.0,-7.5,-1.16,2810315,1785273107.1
03750.HK,20260326,620.0,641.5,613.0,616.0,637.5,-21.5,-3.37,2749585,1707586614.76
03750.HK,20260327,623.5,638.0,608.0,634.0,616.0,18.0,2.92,2179661,1371736007.3
03750.HK,20260330,632.0,641.0,624.0,632.0,634.0,-2.0,-0.32,2227823,1410271515.6
03750.HK,20260331,637.5,654.5,611.0,613.5,632.0,-18.5,-2.93,2148918,1344145172.3
03750.HK,20260401,636.5,638.5,623.5,632.5,613.5,19.0,3.1,1871936,1183414341.42
03750.HK,20260402,637.5,651.5,620.5,627.5,632.5,-5.0,-0.79,1600945,1014788528.38
03750.HK,20260408,660.0,660.0,628.5,639.5,627.5,12.0,1.91,2203760,1406834625.9
03750.HK,20260409,642.0,645.0,629.5,633.0,639.5,-6.5,-1.02,1564837,993519483.0
03750.HK,20260410,639.5,682.0,631.0,681.5,625.117,56.383,9.02,3925993,2595260792.2
03750.HK,20260413,681.5,701.0,675.5,682.5,681.5,1.0,0.15,2639757,1813926712.3
03750.HK,20260414,680.0,680.0,633.0,660.0,682.5,-22.5,-3.3,6164403,3991907662.02
03750.HK,20260415,660.0,674.0,648.0,655.5,660.0,-4.5,-0.68,3932787,2576849892.38
03750.HK,20260416,684.5,729.0,682.5,714.5,655.5,59.0,9.0,5743359,4089223966.475
03750.HK,20260417,714.5,725.0,685.5,692.0,714.5,-22.5,-3.15,4114871,2881186990.368
03750.HK,20260420,700.0,708.0,690.5,702.5,692.0,10.5,1.52,3036633,2124236718.8
03750.HK,20260421,712.0,745.0,703.0,736.0,702.5,33.5,4.77,3076530,2256149006.2
03750.HK,20260422,720.0,720.0,692.0,699.0,736.0,-37.0,-5.03,13504527,9534291831.45
03750.HK,20260423,699.0,708.0,690.0,702.5,699.0,3.5,0.5,2908230,2032030140.04
03750.HK,20260424,715.5,715.5,680.0,695.0,702.5,-7.5,-1.07,3458832,2386683260.16
03750.HK,20260427,702.0,703.0,666.0,675.5,695.0,-19.5,-2.81,3257232,2205627977.84
03750.HK,20260428,630.0,631.5,613.5,629.0,675.5,-46.5,-6.88,14897728,9321194689.4
03750.HK,20260429,630.0,630.0,614.0,627.5,629.0,-1.5,-0.24,7832761,4885607747.2
03750.HK,20260430,630.0,633.5,607.0,608.0,627.5,-19.5,-3.11,8583105,5271276377.1
03750.HK,20260504,627.0,639.0,618.5,631.5,608.0,23.5,3.87,9257390,5830719611.554
03750.HK,20260505,650.0,659.5,640.5,655.0,631.5,23.5,3.72,5838183,3805066168.68
03750.HK,20260506,681.0,681.0,647.0,669.0,655.0,14.0,2.14,12600266,8367769300.35
03750.HK,20260507,671.5,673.5,651.5,665.0,669.0,-4.0,-0.6,6924377,4578652067.53
03750.HK,20260508,672.5,672.5,649.5,651.0,665.0,-14.0,-2.11,3853234,2530980458.3
03750.HK,20260511,655.5,664.5,649.5,657.5,651.0,6.5,1.0,4015364,2640582695.505
03750.HK,20260512,661.0,662.5,643.0,651.5,657.5,-6.0,-0.91,3555751,2314602333.1
03750.HK,20260513,659.0,673.5,653.5,673.0,651.5,21.5,3.3,3698888,2458261591.82
03750.HK,20260514,700.0,707.5,682.5,686.0,673.0,13.0,1.93,5990355,4143328619.37
03750.HK,20260515,698.0,698.0,671.5,680.0,686.0,-6.0,-0.87,3660186,2492193581.26
03750.HK,20260518,670.0,683.5,663.0,674.5,680.0,-5.5,-0.81,2708095,1820813393.3
03750.HK,20260519,674.5,674.5,646.5,660.0,674.5,-14.5,-2.15,3803034,2501598593.0
03750.HK,20260520,651.0,664.5,650.5,662.5,660.0,2.5,0.38,2952978,1941332665.28
03750.HK,20260521,665.5,681.0,665.5,673.5,662.5,11.0,1.66,4673932,3148169778.9
03750.HK,20260522,684.0,691.0,675.0,686.0,673.5,12.5,1.86,3963660,2716086294.55
03750.HK,20260526,686.0,686.0,656.0,658.0,686.0,-28.0,-4.08,5278819,3528605528.62
03750.HK,20260527,704.0,705.5,674.0,700.0,658.0,42.0,6.38,6266540,4362414909.4
03750.HK,20260528,709.0,720.0,686.0,717.0,700.0,17.0,2.43,4974563,3493710367.4
03750.HK,20260529,722.0,752.0,716.0,744.5,717.0,27.5,3.84,7192189,5319578162.7
03750.HK,20260601,749.0,772.0,747.5,753.5,744.5,9.0,1.21,4126684,3116011724.88
03750.HK,20260602,775.0,792.5,763.0,779.5,753.5,26.0,3.45,3331922,2581124795.24
03750.HK,20260603,779.5,794.5,766.0,778.0,779.5,-1.5,-0.19,3773219,2945771060.3
03750.HK,20260604,792.0,792.0,718.5,723.5,778.0,-54.5,-7.01,4997462,3710352113.15
03750.HK,20260605,735.0,735.0,704.0,711.0,723.5,-12.5,-1.73,6565226,4693792195.4
03750.HK,20260608,698.5,704.5,676.0,683.0,711.0,-28.0,-3.94,4632590,3183617729.93
03750.HK,20260609,682.5,700.5,668.5,691.0,683.0,8.0,1.17,2658300,1825971946.55
03750.HK,20260610,678.5,686.5,648.0,653.5,691.0,-37.5,-5.43,4181549,2757921966.76
03750.HK,20260611,653.5,672.0,640.5,662.0,653.5,8.5,1.3,4836048,3183758053.88
03750.HK,20260612,675.0,686.0,665.0,672.5,662.0,10.5,1.59,4058763,2727204277.2
03750.HK,20260615,682.5,708.5,682.0,705.0,672.5,32.5,4.83,3683932,2566765678.15
03750.HK,20260616,714.0,727.5,708.0,716.0,705.0,11.0,1.56,2592858,1857057161.07
03750.HK,20260617,716.0,717.0,700.0,711.0,716.0,-5.0,-0.7,2243840,1587186928.82
03750.HK,20260618,713.0,733.0,698.0,708.5,711.0,-2.5,-0.35,3085764,2188592379.72
03750.HK,20260622,713.5,755.0,697.0,742.0,708.5,33.5,4.73,4517203,3313332728.0
03750.HK,20260623,765.5,766.5,696.5,704.0,742.0,-38.0,-5.12,3977786,2864869753.1
03750.HK,20260624,704.0,723.0,698.5,721.5,704.0,17.5,2.49,2129738,1520069056.84
03750.HK,20260625,730.0,731.0,701.5,716.5,721.5,-5.0,-0.69,2293063,1640077777.22
03750.HK,20260626,716.5,722.0,668.0,680.5,716.5,-36.0,-5.02,3039473,2075901897.34
03750.HK,20260629,685.0,699.0,667.0,695.0,680.5,14.5,2.13,2686042,1842234563.13
